Player,careers,Pos,Tm,G,PER,GS,MP,TS,OWS,DWS,WS,BPM,FG,P2,P3,year_start,year_end,height,weight,birth_date,year_active,age_start,age_end,churn
Armen Gilliam,12,PF,UTA,830,16.6,498,24298,0.5,2.5,2.0,4.5,-1.0,0.5,0.5,0.0,1988,2000,6-9,230,1964,13,24,36,0
Armon Johnson,3,PG,NJN,55,11.6,0,520,0.5,-0.1,0.1,-0.0,-5.7,0.5,0.5,0.4,2011,2012,6-3,195,1989,2,22,23,1
Armond Hill,2,PG,SDC,59,5.0,32,1203,0.5,-0.6,0.1,-0.6,-6.6,0.4,0.4,0.0,1977,1984,6-4,190,1953,8,24,31,0
Aron Baynes,3,C,DET,167,14.2,18,2496,0.6,1.6,1.2,2.7,-1.8,0.5,0.5,0.1,2013,2018,6-10,260,1986,6,27,32,0
Arron Afflalo,12,SG,SAC,787,11.5,606,22649,0.6,2.1,0.9,3.0,-1.3,0.4,0.5,0.4,2008,2018,6-5,210,1985,11,23,33,0
Art Long,3,SF,TOR,52,5.8,0,422,0.4,-0.4,0.2,-0.2,-9.1,0.4,0.4,0.7,2001,2003,6-9,250,1972,3,29,31,1
Arvydas Macijauskas,1,SG,NOK,19,8.3,0,135,0.5,-0.1,0.1,0.0,-5.3,0.3,0.4,0.2,2006,2006,6-4,214,1980,1,26,26,1
Ashraf Amaya,2,PF,WSB,85,10.3,34,1248,0.5,0.2,0.7,1.0,-6.0,0.4,0.4,0.5,1996,1997,6-8,230,1971,2,25,26,1
Askia Jones,1,SG,MIN,11,8.3,0,139,0.4,-0.1,0.0,-0.1,-5.9,0.3,0.4,0.2,1995,1995,6-5,200,1971,1,24,24,1
Audie Norris,1,C,POR,78,10.6,13,1117,0.6,0.6,1.4,1.9,-1.9,0.5,0.6,0.0,1983,1985,6-9,230,1960,3,23,25,1
Austin Croshere,14,PF,SAS,673,13.2,88,11580,0.5,0.9,1.0,2.0,-1.6,0.4,0.4,0.3,1998,2009,6-9,235,1975,12,23,34,0
Austin Daye,12,SF,ATL,404,10.5,34,5300,0.5,0.1,0.4,0.5,-3.2,0.4,0.4,0.3,2010,2015,6-11,220,1988,6,22,27,0
Austin Rivers,7,SG,LAC,423,10.1,76,9401,0.5,0.3,0.7,1.0,-3.1,0.4,0.4,0.3,2013,2018,6-4,200,1992,6,21,26,0
Avery Bradley,7,SG,BOS,413,10.6,340,11619,0.5,0.3,1.7,2.1,-2.6,0.4,0.5,0.3,2011,2018,6-2,180,1990,8,21,28,0
Avery Johnson,21,PG,GSW,1242,13.7,679,30009,0.5,1.8,1.2,3.0,-3.3,0.5,0.5,0.1,1989,2004,5-10,175,1965,16,24,39,0
